Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Payment_Option,Delivery_Date,Delivery_Term,City,price_per_m2,total_rooms,Log_Price,Log_Area
0,670000.0,3.0,1.0,110.0,0,5,cash or installment,unknown,4,80,6090.909090909091,4.0,13.415034483903348,4.709530201312334
0,750000.0,3.0,2.0,120.0,0,1,cash,within_6_months,1,1,6250.0,5.0,13.527829818844937,4.795790545596741
0,2350000.0,3.0,2.0,195.0,0,Ground,cash or installment,ready_to_move,1,119,12051.28205128205,5.0,14.669926311652166,5.278114659230517
0,2100000.0,3.0,2.0,160.0,2,2,cash,unknown,1,111,13125.0,5.0,14.557448378884015,5.081404364984463
0,4400000.0,4.0,3.0,200.0,1,3,cash,ready_to_move,1,93,22000.0,7.0,15.29711532616119,5.303304908059076
0,1350000.0,3.0,2.0,185.0,0,2,cash or installment,ready_to_move,3,178,7297.2972972972975,5.0,14.115615891155079,5.225746673713202
0,1648000.0,3.0,3.0,160.0,1,3,cash or installment,2023,0,120,10300.0,6.0,14.315073596247487,5.081404364984463
0,5550000.0,2.0,2.0,124.0,0,1,cash,2025,1,159,44758.06451612903,4.0,15.52930866590278,4.8283137373023015
0,220000.0,2.0,1.0,55.0,0,1,cash,ready_to_move,1,75,4000.0,3.0,12.301387370778713,4.02535169073515
0,1613800.0,3.0,3.0,182.0,1,1,unknown payment,unknown,3,119,8867.032967032967,6.0,14.294102824051823,5.209486152841421
3,3700000.0,4.0,3.0,263.0,0,3,cash or installment,ready_to_move,1,159,14068.441064638784,7.0,15.123843647884687,5.575949103146316
0,3800000.0,3.0,3.0,198.0,0,2,cash,ready_to_move,1,159,19191.91919191919,6.0,15.150511887854474,5.293304824724492
0,3625000.0,2.0,2.0,160.0,1,1,cash or installment,unknown,4,69,22656.25,4.0,15.103365122132944,5.081404364984463
0,3000000.0,3.0,3.0,162.0,0,4,cash,unknown,1,141,18518.51851851852,6.0,14.914123179965662,5.093750200806762
0,2500000.0,3.0,2.0,140.0,1,2,unknown payment,unknown,4,159,17857.14285714286,5.0,14.731801689838349,4.948759890378168
0,3800000.0,3.0,2.0,195.0,1,2,unknown payment,unknown,4,159,19487.17948717949,5.0,15.150511887854474,5.278114659230517
3,4128000.0,3.0,3.0,301.0,1,3,unknown payment,unknown,4,159,13714.285714285714,6.0,15.233303828391568,5.71042701737487
0,4100000.0,4.0,3.0,253.0,1,2,unknown payment,unknown,4,159,16205.533596837944,7.0,15.226497775576945,5.537334267018537
0,2520000.0,3.0,2.0,145.0,1,1,unknown payment,unknown,3,119,17379.310344827587,5.0,14.739769856312924,4.983606621708336
0,2100000.0,3.0,2.0,169.0,1,2,cash or installment,2022,3,119,12426.03550295858,5.0,14.557448378884015,5.135798437050262
0,2600000.0,2.0,3.0,135.0,0,Ground,cash,ready_to_move,0,119,19259.25925925926,5.0,14.77102238760702,4.912654885736052
0,1400000.0,2.0,2.0,116.0,1,Ground,unknown payment,unknown,4,119,12068.965517241379,4.0,14.151983508870947,4.762173934797756
0,4500000.0,3.0,3.0,192.0,1,2,cash,ready_to_move,4,119,23437.5,6.0,15.319588176962746,5.262690188904886
3,3300000.0,3.0,3.0,167.0,0,2,cash or installment,2022,1,119,19760.47904191617,6.0,15.009433329466965,5.123963979403259
0,5300000.0,3.0,3.0,205.0,0,2,unknown payment,unknown,1,119,25853.658536585364,6.0,15.483217567201578,5.327876168789581
0,370000.0,3.0,2.0,130.0,1,3,cash or installment,ready_to_move,2,47,2846.153846153846,5.0,12.821260987319457,4.875197323201151
2,4350000.0,3.0,3.0,234.0,0,2,cash or installment,unknown,3,119,18589.74358974359,6.0,15.285686632949897,5.459585514144159
0,3100000.0,3.0,2.0,185.0,1,2,unknown payment,unknown,4,159,16756.756756756757,5.0,14.946912992035967,5.225746673713202
0,1500000.0,2.0,1.0,70.0,2,3,cash or installment,ready_to_move,1,93,21428.571428571428,3.0,14.220976332738882,4.2626798770413155
0,690000.0,3.0,2.0,115.0,1,Ground,unknown payment,unknown,4,71,6000.0,5.0,13.444448325847754,4.7535901911063645
0,1650000.0,2.0,1.0,96.0,0,4,cash,ready_to_move,1,93,17187.5,3.0,14.316286451937186,4.574710978503383
0,800000.0,3.0,2.0,176.0,1,3,cash or installment,within_6_months,1,119,4545.454545454545,5.0,13.592368256649284,5.176149732573829
0,925000.0,2.0,1.0,84.0,0,4,installment,ready_to_move,1,93,11011.904761904761,3.0,13.73755009757506,4.442651256490317
0,480000.0,2.0,1.0,78.0,0,1,installment,ready_to_move,1,93,6153.846153846154,3.0,13.081543466215237,4.3694478524670215
0,1680000.0,3.0,2.0,116.0,0,1,cash,ready_to_move,1,93,14482.758620689656,5.0,14.33430494661736,4.762173934797756
0,1700000.0,3.0,2.0,116.0,0,1,cash,ready_to_move,1,93,14655.172413793103,5.0,14.346139397261565,4.762173934797756
0,3600000.0,4.0,3.0,200.0,1,2,cash or installment,ready_to_move,1,93,18000.0,7.0,15.096444681204078,5.303304908059076
0,4100000.0,3.0,3.0,244.0,1,Ground,cash,ready_to_move,1,93,16803.27868852459,6.0,15.226497775576945,5.501258210544727
0,3185300.0,3.0,2.0,108.0,0,Ground,cash or installment,unknown,1,126,29493.51851851852,5.0,14.974057348017544,4.6913478822291435
0,2204875.0,2.0,2.0,155.0,0,Ground,installment,ready_to_move,3,119,14225.0,4.0,14.606181829454126,5.049856007249537
0,2700000.0,3.0,3.0,179.0,1,Ground,installment,unknown,4,3,15083.798882681564,6.0,14.80876270134486,5.19295685089021
0,3100000.0,3.0,3.0,147.0,1,2,installment,unknown,4,3,21088.43537414966,6.0,14.946912992035967,4.997212273764115
0,350000.0,3.0,1.0,108.0,0,10,cash,ready_to_move,2,164,3240.740740740741,4.0,12.765691290604371,4.6913478822291435
0,2400000.0,2.0,2.0,118.0,1,3,installment,unknown,4,3,20338.98305084746,4.0,14.690979711984754,4.77912349311153
0,2200000.0,2.0,2.0,122.0,1,2,installment,unknown,4,3,18032.786885245903,4.0,14.603968372873895,4.812184355372417
0,3800000.0,3.0,3.0,248.0,1,2,installment,unknown,4,3,15322.58064516129,6.0,15.150511887854474,5.517452896464707
0,290000.0,2.0,1.0,100.0,0,3,cash,unknown,1,116,2900.0,3.0,12.577639650232573,4.61512051684126
0,5707888.0,2.0,2.0,121.0,0,Ground,installment,2025,1,159,47172.628099173555,4.0,15.55735981099875,4.804021044733257
0,1273000.0,3.0,3.0,190.0,0,Ground,installment,2023,3,121,6700.0,6.0,14.05688766308519,5.25227342804663
0,440000.0,3.0,2.0,130.0,0,3,cash,unknown,1,116,3384.6153846153848,5.0,12.994532278619134,4.875197323201151
0,600000.0,2.0,1.0,70.0,2,2,cash,ready_to_move,1,159,8571.42857142857,3.0,13.304686600863562,4.2626798770413155
0,2750000.0,4.0,2.0,180.0,2,6,cash,ready_to_move,1,91,15277.777777777777,6.0,14.827111833279051,5.198497031265826
0,980000.0,3.0,2.0,180.0,0,4,cash,ready_to_move,1,71,5444.444444444444,5.0,13.795308871054397,5.198497031265826
0,400000.0,3.0,1.0,100.0,0,1,cash,unknown,1,32,4000.0,4.0,12.899222326086994,4.61512051684126
0,2543129.0,3.0,2.0,130.0,0,2,installment,within_6_months,4,3,19562.53076923077,5.0,14.748906163821191,4.875197323201151
2,3886383.0,3.0,3.0,235.0,0,Ground,installment,within_6_months,2,3,16537.8,6.0,15.172989720301027,5.4638318050256105
2,4787252.0,3.0,3.0,270.0,0,Highest,installment,2025,2,3,17730.562962962962,6.0,15.381467318450795,5.602118820879701
